ZIP_CODE,HUD_AREA_CODE,CITY_STATE,RENT_STUDIO,RENT_STUDIO_90,RENT_STUDIO_110,RENT_1BD,RENT_1BD_90,RENT_1BD_110,RENT_2BD,RENT_2BD_90,RENT_2BD_110,RENT_3BD,RENT_3BD_90,RENT_3BD_110,RENT_4BD,RENT_4BD_90,RENT_4BD_110,GEO_ID,MEDIAN_INCOME_HOUSEHOLD_EST,TOTAL_HOUSEHOLDS_EST
94014,METRO41860MM7360,"San Francisco, CA HUD Metro FMR Area",2050,1845,2255,2510,2259,2761,2990,2691,3289,3760,3384,4136,3960,3564,4356,860Z200US94014,115513,14107
94015,METRO41860MM7360,"San Francisco, CA HUD Metro FMR Area",2590,2331,2849,3100,2790,3410,3750,3375,4125,4790,4311,5269,4970,4473,5467,860Z200US94015,123552,20514
94018,METRO41860MM7360,"San Francisco, CA HUD Metro FMR Area",2250,2025,2475,2700,2430,2970,3270,2943,3597,4180,3762,4598,4330,3897,4763,860Z200US94018,225763,1390
94019,METRO41860MM7360,"San Francisco, CA HUD Metro FMR Area",2190,1971,2409,2620,2358,2882,3170,2853,3487,4050,3645,4455,4200,3780,4620,860Z200US94019,153272,5299
94020,METRO41860MM7360,"San Francisco, CA HUD Metro FMR Area",2910,2619,3201,3280,2952,3608,4030,3627,4433,5170,4653,5687,5430,4887,5973,860Z200US94020,"250,000+",762
94025,METRO41860MM7360,"San Francisco, CA HUD Metro FMR Area",2900,2610,3190,3480,3132,3828,4210,3789,4631,5380,4842,5918,5570,5013,6127,860Z200US94025,215871,14318
94027,METRO41860MM7360,"San Francisco, CA HUD Metro FMR Area",2810,2529,3091,3370,3033,3707,4080,3672,4488,5220,4698,5742,5400,4860,5940,860Z200US94027,"250,000+",2275
94028,METRO41860MM7360,"San Francisco, CA HUD Metro FMR Area",2710,2439,2981,3190,2871,3509,3820,3438,4202,4940,4446,5434,5190,4671,5709,860Z200US94028,"250,000+",2625
94030,METRO41860MM7360,"San Francisco, CA HUD Metro FMR Area",3020,2718,3322,3620,3258,3982,4380,3942,4818,5590,5031,6149,5800,5220,6380,860Z200US94030,157567,7998
94037,METRO41860MM7360,"San Francisco, CA HUD Metro FMR Area",2820,2538,3102,3380,3042,3718,4090,3681,4499,5220,4698,5742,5420,4878,5962,860Z200US94037,201367,1061
94038,METRO41860MM7360,"San Francisco, CA HUD Metro FMR Area",2190,1971,2409,2620,2358,2882,3170,2853,3487,4050,3645,4455,4200,3780,4620,860Z200US94038,128333,988
94044,METRO41860MM7360,"San Francisco, CA HUD Metro FMR Area",2820,2538,3102,3380,3042,3718,4090,3681,4499,5220,4698,5742,5420,4878,5962,860Z200US94044,156658,13982
94060,METRO41860MM7360,"San Francisco, CA HUD Metro FMR Area",2760,2484,3036,3200,2880,3520,3870,3483,4257,4940,4446,5434,5120,4608,5632,860Z200US94060,111351,358
94061,METRO41860MM7360,"San Francisco, CA HUD Metro FMR Area",2620,2358,2882,3140,2826,3454,3800,3420,4180,4850,4365,5335,5030,4527,5533,860Z200US94061,141599,13144
94062,METRO41860MM7360,"San Francisco, CA HUD Metro FMR Area",2600,2340,2860,3110,2799,3421,3770,3393,4147,4820,4338,5302,4990,4491,5489,860Z200US94062,233333,9740
94063,METRO41860MM7360,"San Francisco, CA HUD Metro FMR Area",2550,2295,2805,3060,2754,3366,3700,3330,4070,4730,4257,5203,4900,4410,5390,860Z200US94063,115528,11291
94065,METRO41860MM7360,"San Francisco, CA HUD Metro FMR Area",3020,2718,3322,3620,3258,3982,4380,3942,4818,5600,5040,6160,5800,5220,6380,860Z200US94065,213361,4617
94066,METRO41860MM7360,"San Francisco, CA HUD Metro FMR Area",2430,2187,2673,2910,2619,3201,3520,3168,3872,4500,4050,4950,4660,4194,5126,860Z200US94066,135976,15463
94070,METRO41860MM7360,"San Francisco, CA HUD Metro FMR Area",2720,2448,2992,3260,2934,3586,3950,3555,4345,5050,4545,5555,5230,4707,5753,860Z200US94070,235373,11331
94080,METRO41860MM7360,"San Francisco, CA HUD Metro FMR Area",2430,2187,2673,2920,2628,3212,3530,3177,3883,4510,4059,4961,4670,4203,5137,860Z200US94080,135966,22033
94102,METRO41860MM7360,"San Francisco, CA HUD Metro FMR Area",2050,1845,2255,2510,2259,2761,2990,2691,3289,3740,3366,4114,3960,3564,4356,860Z200US94102,64781,19543
94103,METRO41860MM7360,"San Francisco, CA HUD Metro FMR Area",2430,2187,2673,2910,2619,3201,3520,3168,3872,4500,4050,4950,4660,4194,5126,860Z200US94103,122339,17352
94104,METRO41860MM7360,"San Francisco, CA HUD Metro FMR Area",2620,2358,2882,3140,2826,3454,3800,3420,4180,4850,4365,5335,5030,4527,5533,860Z200US94104,49896,263
